"SampleID"	"StratUnit"	"Si"	"Ti"	"Al"	"Fe"	"Mg"	"Ca"	"Na"	"K"	"P"	"Rb"	"Nb"	"Zr"	"Th"	"V"	"Cr"	"Co"	"Ni"	"La"	"Er"	"Yb"	"Y"	"Ga"
211	"lJF"	6034.85436295338	181.55455777066	1008.22590725522	1109.66245470861	6641.9547245462	979.004019444553	335.597865984801	123.147479723131	78.9040653657058	0.221135913174318	1.12048279138634	0.871481189160747	0.0672303384659674	1.39375558238371	23.8094780185437	1.64593132563648	25.3350461891797	0.575931118638211	0.00418510104029654	0.00335182616736015	0.0956067570356731	0.0774493352265393
212	"lJF"	5690.33840787028	184.058758567497	1121.99458939686	1000.70011434784	6555.11557050843	1319.6046892331	277.51361994897	110.408085269014	84.5400700346848	0.219965881887682	1.21197274073105	0.962466017714636	0.078435394876962	1.53116810459056	24.7326241775826	1.46436982889102	21.2800757836486	0.627045005417352	0.00466339830204472	0.00346740638002774	0.107979396181466	0.0817520760724582
213	"lJF"	6089.77719637243	194.075561754844	1012.14896526011	1074.59411528216	7138.1784619049	838.12730262102	283.967425064062	123.147479723131	95.8120793726428	0.198905318728223	1.06989423116044	0.795843199158116	0.056456245763088	1.31523414112266	23.2902083040843	1.84276435014559	26.5106468529681	0.543534993214812	0.00400573956714098	0.00277392510402219	0.106854610804576	0.0688438535347016
214	"lJF"	5954.96660525295	220.369670121629	1506.45427387551	951.854927289556	7324.26236341442	800.679061440081	264.606009718785	148.626268631364	123.992102717538	0.271447258499692	1.4132506292894	1.26063316671051	0.0892094875798414	1.8845145902653	23.8094780185437	1.07918796196371	13.9197933668862	0.765268473890523	0.0062178644027263	0.00572122052704577	0.161969094272199	0.107568521147971
215	"lJF"	6189.63689349797	194.075561754844	1220.07103951896	1032.01113169289	7435.91270432012	622.354103435609	245.244594373508	118.901014905092	95.8120793726428	0.205925506448042	1.13985713360051	0.939445759887749	0.0676613021740826	1.5115377442753	23.5594592671373	1.56618001398193	22.5919779736734	0.622725522027566	0.0040655267248595	0.0039297272306981	0.114728108442808	0.0889233108156562
216	"lJF"	5984.92451439061	205.344465340609	1216.14798151408	1000.70011434784	7386.29033058425	832.777553880886	206.521763682954	123.147479723131	101.448084041622	0.214115725454499	1.25933224392125	1.01946856090502	0.0732638303795799	1.55079846490582	23.6940847486638	1.16233294645463	18.0429145355355	0.703355878636915	0.00448403682888915	0.00410309754969949	0.113603323065917	0.0831863230210978
217	"lJF"	5552.19916017995	186.562959364334	1157.30211144082	935.573198270129	6736.23723464436	1487.2301497573	290.421230179154	84.9292963607797	87.3580723691743	0.180184818142037	1.17537676099316	0.986582478295185	0.0719709392552344	1.59005918553635	23.6940847486638	1.14875825510917	17.3784445951334	0.525537145757367	0.00484275977520029	0.00364077669902913	0.116977679196588	0.0831863230210978
218	"lJF"	5943.31630725497	201.588164145354	1231.84021353362	1033.26357238669	7644.32667401078	756.097821938963	258.152204603693	80.6828315427407	109.90209104509	0.141573785683029	1.37773100189675	1.14662808032974	0.0836069593743441	1.84525386963478	23.0209573410313	1.57805786890921	19.4059297978989	0.664480528128836	0.00538084419466699	0.00462320850670365	0.12485117683482	0.0917918047129355
219	"lJF"	6069.80525694732	209.100766535864	1380.91641771921	928.058554107317	6887.58547453876	1055.68375138648	393.682112020632	152.872733449403	101.448084041622	0.267937164639782	1.32176067994469	1.30009646584232	0.0840379230824593	1.9434056712111	26.5789164956603	1.21663171183645	17.2251053781175	0.723513467789252	0.00573956714097812	0.00468099861303745	0.139473386734394	0.0989630394561336
220	"lJF"	5878.40750412337	202.840264543772	1278.91690959223	985.670826022211	7458.24277250126	866.659295901736	251.6983994886	93.4222259968576	101.448084041622	0.169654536562308	1.35405125030165	1.12908883627116	0.0749876852120406	1.74710206805846	23.4248337856108	1.31844189692737	16.0324670235495	0.638563627790116	0.00633743871816334	0.005374479889043	0.148471669749516	0.0917918047129355
